,periodo,comentario,quant_like_coment,feedback_super,nota,quant_comentarios,quant_fotos,supermercado,rua_supermercado,guia_local,cliente_id
0,um mês atrás,"Nas compras presenciais, é o maior e melhor mercantil da cidade. No entanto, para compras online, tudo é demorado, o atendimento, o pedido, a entrega. Nesse processo, passei quase 3 horas esperando pelas compras.",0.0,Agradecemos sua ajuda.,3,17,12,Deirton,"Fausto Pinheiro, 316",Sim,0
1,4 meses atrás,"O supermercado conta com produtos variados e boa relação entre custo e benefício, com preços acessíveis. Há também uma padaria, uma cafeteria e a venda utensílios variados e domésticos (que varia desde brinquedos infantis até itens para a cozinha e opções de presentes).  O atendimento ao público é solícito e simpático.",0.0,Agradecemos sua ajuda.,5,14,15,Deirton,"Fausto Pinheiro, 316",Sim,1
2,3 meses atrás,"Até o momento o maior mercantil da cidade,com muita diversidade de produtos, praticamente para todas as necessidades e gostos,recomendo!",0.0,Agradecemos sua ajuda.,4,24,4,Deirton,"Fausto Pinheiro, 316",Sim,2
3,5 meses atrás,"Supermercado Excelente para realizar suas compras rotineiramente!. Tem de tudo o que vc imaginar 🙏😍🌻. Com certeza recomendo. Pois vc não vai se arrepender, além de os funcionários serem bastante atenciosos. 🤟🍃",0.0,Agradecemos sua ajuda.,5,38,13,Deirton,"Fausto Pinheiro, 316",Sim,3
4,3 meses atrás,Ótimo atendimento. Promoções e variedade,0.0,Agradecemos sua ajuda.,5,6,16,Deirton,"Fausto Pinheiro, 316",Sim,4
5,6 meses atrás,"Atendimento maravilhoso, os funcionários são prestativos e simpáticos. O ambiente é super organizado e agradável.",0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,5
6,3 meses atrás,"Ótima experiência, só falta me contratarem para ganhar as 5 estrelas",0.0,Agradecemos sua ajuda.,4,2,2,Deirton,"Fausto Pinheiro, 316",Não,6
7,3 meses atrás,"Mercado com bastante coisas variadas ,além de alimentos ,tem o andar de cima com roupas e brinquedos",0.0,Agradecemos sua ajuda.,5,6,3,Deirton,"Fausto Pinheiro, 316",Sim,7
8,11 meses atrás,Sem comentário,0.0,Agradecemos sua ajuda.,5,46,3,Deirton,"Fausto Pinheiro, 316",Sim,8
9,5 meses atrás,"Grande diversidade de produtos, porém os preços altos",0.0,Agradecemos sua ajuda.,3,8,0,Deirton,"Fausto Pinheiro, 316",Não,9
10,8 meses atrás,"Quando vou para esta cidade gosto de ir neste supermercado, além de uma boa variedade o que mais me cativa é a educação de todos os funcionários. Parabéns aos seus administradores",0.0,Agradecemos sua ajuda.,5,48,15,Deirton,"Fausto Pinheiro, 316",Sim,10
11,2 meses atrás,A cafeteria é um charme! Bem atendida👍,0.0,Agradecemos sua ajuda.,4,23,18,Deirton,"Fausto Pinheiro, 316",Sim,11
12,um mês atrás,Foi ótimo curtir,0.0,Agradecemos sua ajuda.,5,18,0,Deirton,"Fausto Pinheiro, 316",Não,12
13,3 meses atrás,Gostei muito de encontrar pelo Google o mercantil.,0.0,Agradecemos sua ajuda.,5,10,12,Deirton,"Fausto Pinheiro, 316",Sim,13
14,um mês atrás,Top o supermercado indico sem dúvidas. Agora nota mil para os funcionários nem em grandes redes sou bem tratado pelos colaboradores do supermercado Deirton,0.0,Agradecemos sua ajuda.,5,14,127,Deirton,"Fausto Pinheiro, 316",Sim,14
15,uma semana atrás,Ótimos preços,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,15
16,5 meses atrás,"Um dos maiores supermercado de Itapajé, com variedades de produtos, promoção.",0.0,Agradecemos sua ajuda.,5,11,0,Deirton,"Fausto Pinheiro, 316",Não,16
17,8 meses atrás,"Local agradável, climatizado, diversas opções de compra e um bom atendimento.",0.0,Agradecemos sua ajuda.,5,10,12,Deirton,"Fausto Pinheiro, 316",Sim,17
18,2 meses atrás,Muito bom,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,18
19,2 anos atrás,Marcado muito bom pessoas show de  bola o melhor da cidade,0.0,Agradecemos sua ajuda.,5,17,38,Deirton,"Fausto Pinheiro, 316",Sim,19
20,um ano atrás,"O melhor supermercado de Itapajé, com preços excelentes... qualidades em frutas e legumes todos sempre novinhos e fresquinho. Fiquei surpreso com a qualidade",0.0,Agradecemos sua ajuda.,5,47,0,Deirton,"Fausto Pinheiro, 316",Sim,20
21,2 semanas atrás,Sem comentário,0.0,Agradecemos sua ajuda.,5,10,0,Deirton,"Fausto Pinheiro, 316",Sim,21
22,4 anos atrás,Sem comentário,1.0,Agradecemos sua ajuda.,4,29,0,Deirton,"Fausto Pinheiro, 316",Sim,22
23,2 anos atrás,"E o melhor da região em termo de estrutura, funcionários atenciosos e prestativos, mas deixa a desejar na entrega, sempre esquecem um produto o que gera transtornos para o cliente e falta  variedade de produtos.",0.0,Agradecemos sua ajuda.,3,0,0,Deirton,"Fausto Pinheiro, 316",Não,23
24,2 anos atrás,Sem comentário,0.0,Agradecemos sua ajuda.,1,0,0,Deirton,"Fausto Pinheiro, 316",Não,24
25,3 anos atrás,Sem comentário,0.0,Agradecemos sua ajuda.,1,10,4,Deirton,"Fausto Pinheiro, 316",Sim,25
26,2 anos atrás,"Muito bom, preços baixos e ótimo atendimento.",0.0,Agradecemos sua ajuda.,5,0,2,Deirton,"Fausto Pinheiro, 316",Não,26
27,8 meses atrás,"Ambiente agradável, variedade e ótimo preço.",0.0,Agradecemos sua ajuda.,5,4,9,Deirton,"Fausto Pinheiro, 316",Sim,27
28,2 anos atrás,Excelente lugar para se fazer as compras do mês. Lá você encontra de um tudo. Só o preço que é um pouco acima do preço de mercado.,0.0,Agradecemos sua ajuda.,3,14,15,Deirton,"Fausto Pinheiro, 316",Sim,28
29,3 anos atrás,O q eu gosto aqui e o atendimento Ótimo preço relativo para o consumidor e também  as modalidades de pagamento q se enquadra no nível atual do mercado ou seja todos os níveis.,0.0,Agradecemos sua ajuda.,5,16,143,Deirton,"Fausto Pinheiro, 316",Sim,29
30,um ano atrás,"Vai passar em Itapajé? Passa lá no Deirton.O melhor da regiãoProdutos de qualidade, bastante variedade. Preço justo. Atendimento excelente!",0.0,Agradecemos sua ajuda.,5,36,0,Deirton,"Fausto Pinheiro, 316",Sim,30
31,2 anos atrás,"Excelente empreendimento com bastante variedade e bons preços, bastante espaço, atendimento ágil e super gentil.",0.0,Agradecemos sua ajuda.,5,22,0,Deirton,"Fausto Pinheiro, 316",Sim,31
32,um ano atrás,Tenho 45 anos e desde os 20 anos sou cliente.... super recomendado,0.0,Agradecemos sua ajuda.,5,4,2,Deirton,"Fausto Pinheiro, 316",Não,32
33,3 anos atrás,muito bom atendimento e mais variedades.,0.0,Agradecemos sua ajuda.,5,11,0,Deirton,"Fausto Pinheiro, 316",Não,33
34,2 anos atrás,Ótimo atendimento e grande variedade de produtos.,0.0,Agradecemos sua ajuda.,5,5,0,Deirton,"Fausto Pinheiro, 316",Não,34
35,4 meses atrás,Show esse marcantil.,0.0,Agradecemos sua ajuda.,5,2,97,Deirton,"Fausto Pinheiro, 316",Sim,35
36,4 anos atrás,Péssimo atendimento. Principalmente nas entregas. Demora muito e ainda só chega uma parte das coisas. Vc tem que ligar milhões de vezes p receber sua compra,0.0,Agradecemos sua ajuda.,1,8,0,Deirton,"Fausto Pinheiro, 316",Sim,36
37,2 anos atrás,Mercantil encontra-se em reforma atualnente dia 18/06/21. Funcionários bem dispostos e gentis.Poderia ter mais variedades de produtos e estacionamento.,0.0,Agradecemos sua ajuda.,4,18,17,Deirton,"Fausto Pinheiro, 316",Sim,37
38,4 meses atrás,Ótimo lugar,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,38
39,2 anos atrás,"Atendimento de excelência..temos tudo o que procuramos,e sem falar na atenção de cada funcionário",0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,39
40,2 anos atrás,Bom lugar pra vc comprar oque está faltando pra sua casa mas tem que coçar os bolsos,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,40
41,um ano atrás,"Lugar excelente, ótimo ambiente com um grande estacionamento para os clientes.",0.0,Agradecemos sua ajuda.,5,6,2,Deirton,"Fausto Pinheiro, 316",Não,41
42,2 anos atrás,"O maior e um dos melhores supermercados de Itapajé. É bastante completo, tem tanto opções de mantimentos quanto outros itens de casa.",0.0,Agradecemos sua ajuda.,5,339,102,Deirton,"Fausto Pinheiro, 316",Sim,42
43,um ano atrás,"Excelente atendimento, conforto, acessibilidade e qualidade nos produtos 😍",0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,43
44,2 anos atrás,"Gosto de fazer compra aí, atendimento satisfatório. Sempre que não vou ao Assaí de Sobral venho fazer minhas compras aqui.",0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,44
45,6 anos atrás,Ótimo supermercado. Ótimas seleções e grande variedade. Funcionários dedicados e educados. Parece ter um bom clima organizacional. O mercantil ainda crescerá muito nesse ritmo.,0.0,Agradecemos sua ajuda.,5,32,45,Deirton,"Fausto Pinheiro, 316",Sim,45
46,3 anos atrás,Muito bem recebida e facilidade de pagamento todos os funcionários são muito prestativos e me sinto a vontade e muito bem zelado e etc...,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,46
47,um ano atrás,"Bom atendimento, funcionários dedicados mas a mercadoria é meio caro!!!",0.0,Agradecemos sua ajuda.,5,8,0,Deirton,"Fausto Pinheiro, 316",Não,47
48,um ano atrás,"É um lugar que possui um bom atendimento, espaçoso, de fácil acesso aos produtos e muitas opções.",0.0,Agradecemos sua ajuda.,4,20,0,Deirton,"Fausto Pinheiro, 316",Sim,48
49,4 anos atrás,Ótimo atendimento e preços competitivos na maioria dos produtos.,0.0,Agradecemos sua ajuda.,4,2,0,Deirton,"Fausto Pinheiro, 316",Não,49
50,5 anos atrás,"Muito bom, ótimo atendimento! Excelente variedade",0.0,Agradecemos sua ajuda.,4,7,4,Deirton,"Fausto Pinheiro, 316",Não,50
51,um ano atrás,"Poderia ter preços melhores, mais promoções atrativas.",0.0,Agradecemos sua ajuda.,3,25,10,Deirton,"Fausto Pinheiro, 316",Sim,51
52,6 anos atrás,"Só tive uma unica experiência ruim com um atendente mas fujo dele no caixa, fora isso muito bom. O melhor da cidade.",0.0,Agradecemos sua ajuda.,5,6,5,Deirton,"Fausto Pinheiro, 316",Não,52
53,um ano atrás,O comércio e ótimo tem tudo que procura de fácil acesso,0.0,Agradecemos sua ajuda.,5,18,9,Deirton,"Fausto Pinheiro, 316",Sim,53
54,3 anos atrás,"Muito bom, sempre tem os itens nescessários é excelente no atendimento",0.0,Agradecemos sua ajuda.,5,51,0,Deirton,"Fausto Pinheiro, 316",Sim,54
55,um ano atrás,Ótimo atendimento e boas promoções,0.0,Agradecemos sua ajuda.,5,8,0,Deirton,"Fausto Pinheiro, 316",Sim,55
56,2 anos atrás,Excelente. Já sou cliente há muitos anos.,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,56
57,5 anos atrás,"O melhor da região, várias opções e variedades. Bons preços.",0.0,Agradecemos sua ajuda.,5,37,14,Deirton,"Fausto Pinheiro, 316",Sim,57
58,3 anos atrás,Tem tudo que vc imaginarÓtimo atendimentoAmbiente agradável top...,0.0,Agradecemos sua ajuda.,5,3,2,Deirton,"Fausto Pinheiro, 316",Não,58
59,2 anos atrás,"Lugar bem climatizado, bom atendimento, uma variedade enorme de produtos ...muito bom mesmo !!!",0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,59
60,3 anos atrás,muita variedade de produtos e é bem organizado e limpo so que o preço é meio alto,0.0,Agradecemos sua ajuda.,4,21,3,Deirton,"Fausto Pinheiro, 316",Sim,60
61,4 meses atrás,Muito bom 😌,1.0,Agradecemos sua ajuda.,1,6,10,Deirton,"Fausto Pinheiro, 316",Não,61
62,2 anos atrás,Bom preço boa localização sempre com novidades sempre compro la,0.0,Agradecemos sua ajuda.,5,52,28,Deirton,"Fausto Pinheiro, 316",Sim,62
63,5 anos atrás,"Excelente atendimento, bons preços, tele-entrega satisfatória ambiente organizado e limpo.",0.0,Agradecemos sua ajuda.,5,3,2,Deirton,"Fausto Pinheiro, 316",Não,63
64,6 anos atrás,"Muito bom o espaço só não dou cinco estrelas porque nunca tem promoção de nada, as promoções que tem são fora da realidade.",1.0,Agradecemos sua ajuda.,3,91,182,Deirton,"Fausto Pinheiro, 316",Sim,64
65,4 anos atrás,E um ótimo lugar a genti lá é muinto bem atendido pelo os funcionários,0.0,Agradecemos sua ajuda.,3,32,0,Deirton,"Fausto Pinheiro, 316",Sim,65
66,2 anos atrás,"grande variedade de produtos, ambiente excelente, preço justo.",0.0,Agradecemos sua ajuda.,5,16,0,Deirton,"Fausto Pinheiro, 316",Sim,66
67,4 anos atrás,"O lugar é agradável porém os preços muito caro, atendimento bom.",0.0,Agradecemos sua ajuda.,5,79,7,Deirton,"Fausto Pinheiro, 316",Sim,67
68,um ano atrás,"Melhor lugar pra se fazer compras,super recomendo",0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,68
69,3 anos atrás,"Aqui vc encontra de tudo, só falta um estacionamento e banheiro para clientes.",0.0,Agradecemos sua ajuda.,5,63,0,Deirton,"Fausto Pinheiro, 316",Sim,69
70,3 anos atrás,Maravilhoso mim sinto muito a vontade na hora de fazer as compras,0.0,Agradecemos sua ajuda.,5,15,0,Deirton,"Fausto Pinheiro, 316",Sim,70
71,2 anos atrás,Nota 1000!!! atendimento maravilhoso com os motoristas de caminhão que vão fazer as entregas,0.0,Agradecemos sua ajuda.,5,374,19,Deirton,"Fausto Pinheiro, 316",Sim,71
72,3 anos atrás,Ótimo tem tudo o que você quiser e com um preço bom tbm,1.0,Agradecemos sua ajuda.,5,21,11,Deirton,"Fausto Pinheiro, 316",Sim,72
73,um ano atrás,Gostei  em ver as prateleiras bem cuidadas e arrumadas.,1.0,Agradecemos sua ajuda.,4,502,947,Deirton,"Fausto Pinheiro, 316",Sim,73
74,4 anos atrás,"O atendimento é ótimo! Mas em se tratando de entrega, às vezes, demora bastante.",2.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,74
75,3 anos atrás,"Fui muito bem recebida, e na questão de higiene não tem o q reclamar💜",0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,75
76,3 anos atrás,Este supermercado tem um atendimento nota mil e sem contar nas qualificação de mercadorias e muitas promoções nota mil.,0.0,Agradecemos sua ajuda.,5,7,0,Deirton,"Fausto Pinheiro, 316",Não,76
77,3 anos atrás,O melho lugar para se fazer compras de sereaia frios frutas e odeirto,1.0,Agradecemos sua ajuda.,5,24,127,Deirton,"Fausto Pinheiro, 316",Sim,77
78,um ano atrás,O atendimento pelo Whatsapp é horrível. Não recomendo.,1.0,Agradecemos sua ajuda.,1,2,0,Deirton,"Fausto Pinheiro, 316",Não,78
79,5 anos atrás,"Lugar ótimo, com muitas variedades, encontrei o q precisava lá.",0.0,Agradecemos sua ajuda.,5,42,2,Deirton,"Fausto Pinheiro, 316",Sim,79
