"TSUbDb","A503be","dehysf","Jtu6Td","QWOdjf","QWOdjf 2","Txngnb","Txngnb 2","QV3IV","Aohxlc 2"
"Joyce Costa","14 comentários","uma semana atrás","Ambiente super apertado, aspecto de sujo e alguns funcionários super grosseiros.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Myname Gondim","8 comentários","um mês atrás","Muito apertado o local ,mal da pra gente andar com o carrinho de compras ,uma fila pra conseguir pagar","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Francisco Messias Barbosa de Lima","35 comentários9 fotos","4 anos atrás","Excelente atendimento e um mundo de produtos a preços bastante acessíveis","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Igor Sousa","3 comentários","4 anos atrás","Ambiente agradável, bom atendimento, funcionários simpáticos e bem educados ótimo estabelecimento com preços acessíveis.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"INTELIGENCIA ARTIFICIAL 2020","34 comentários79 fotos","3 anos atrás","Bom local com preços baixos","1","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Vanessa Lima","38 comentários82 fotos","4 anos atrás","Tudo mais barato! Melhor referência para quem quer economizar","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Carlos BorGes","32 comentários14 fotos","4 anos atrás","Sou cliente a muito tempo... Um lugar com muitas opções em produtos","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Artes da G","4 comentários","5 anos atrás","Foi ótimo e o atendimento é excelente eu gostei muito .","1","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Victoria Stefany","21 comentários11 fotos","3 anos atrás","Tem um bom ambiente, e muitos produtos variados com ótimo preço também","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"josé carlos pereira da cunha","61 comentários","4 anos atrás","","1","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide",""
